,IP Address
0,8.209.114.72:3129
1,103.127.1.130:80
2,146.83.205.10:8085
3,54.39.132.131:80
4,140.238.58.147:80
5,60.52.61.38:80
6,103.168.53.53:41367
7,34.87.84.105:80
8,93.91.112.247:41258
9,51.15.242.202:8888
10,46.47.197.210:3128
11,200.62.96.71:80
12,103.49.202.252:80
13,103.77.60.14:80
14,162.19.135.173:8118
15,157.245.27.9:3128
16,157.245.65.206:80
17,91.209.11.131:80
18,75.89.101.62:80
19,68.183.53.101:9990
20,159.203.61.169:3128
21,103.155.217.105:41403
22,167.99.124.118:80
23,1.64.165.40:80
24,13.95.173.197:80
25,172.245.159.177:80
26,178.33.3.163:8080
27,137.74.65.101:80
28,47.88.3.19:8080
29,37.27.6.46:80
30,194.182.187.78:3128
31,159.223.183.111:80
32,186.121.235.66:8080
33,34.88.86.0:8888
34,185.178.47.135:80
35,160.72.82.101:80
36,45.79.17.203:80
37,104.45.128.122:80
38,152.228.217.116:80
39,134.195.101.34:8080
40,36.94.185.122:60080
41,134.209.29.120:8080
42,128.199.202.122:3128
43,136.243.55.199:3128
44,161.117.89.36:8888
45,178.128.53.175:80
46,51.124.209.11:80
47,60.52.61.39:80
48,8.219.97.248:80
49,154.65.39.8:80
50,146.59.199.12:80
51,51.178.47.12:80
52,102.223.20.217:80
53,117.54.114.102:80
54,221.151.181.101:8000
55,179.127.165.30:3128
56,129.153.157.63:3128
57,35.213.91.45:80
58,64.176.5.119:80
59,202.5.16.44:80
60,113.161.131.43:80
61,178.21.163.24:80
62,102.68.85.187:8080
63,201.217.49.2:80
64,38.154.239.218:9000
65,135.181.53.229:80
66,121.1.41.162:111
67,103.83.232.122:80
68,103.118.78.194:80
69,20.44.206.138:80
70,94.158.53.145:3128
71,103.133.221.251:80
72,103.168.53.157:41485
73,46.101.115.59:80
74,59.124.240.22:3128
75,85.215.108.196:80
76,123.205.68.113:8193
77,179.0.43.45:999
78,122.211.138.2:53128
79,216.137.184.253:80
80,82.223.102.92:9443
81,217.76.50.200:8000
