,IP Address
82,117.54.114.103:80
83,41.65.236.43:1981
84,66.29.156.100:80
85,158.69.53.98:9300
86,50.207.199.83:80
87,116.203.28.43:80
88,50.169.91.138:80
89,50.171.32.226:80
90,85.26.146.169:80
91,50.170.90.34:80
92,50.171.32.231:80
93,50.168.72.114:80
94,50.168.72.113:80
95,96.113.158.126:80
96,50.173.140.146:80
97,50.221.203.193:80
98,50.168.163.181:80
99,75.89.101.60:80
100,200.105.104.185:999
101,106.10.55.212:5200
102,114.129.19.139:8080
103,13.81.217.201:80
104,138.68.235.51:80
105,209.141.62.12:5555
106,187.217.54.84:80
107,103.149.130.38:80
108,103.197.251.202:80
109,148.76.97.250:80
110,20.111.54.16:8123
111,105.16.115.202:80
112,173.212.195.139:80
113,47.74.71.208:2080
114,163.172.85.30:80
115,103.163.51.254:80
116,162.223.94.163:80
117,122.175.58.131:80
118,219.68.43.251:80
119,198.44.191.194:45787
120,192.99.182.243:3128
121,197.255.125.12:80
122,115.96.208.124:8080
123,37.120.192.154:8080
124,51.83.98.90:80
125,51.159.115.233:3128
126,162.223.94.164:80
127,117.251.103.186:8080
128,47.74.152.29:8888
129,167.99.174.59:80
130,20.206.106.192:80
131,35.222.50.197:80
132,190.187.201.26:8080
133,196.223.129.21:80
134,34.81.160.132:80
135,206.189.146.59:80
136,103.174.102.127:80
137,12.69.91.227:80
138,20.24.43.214:80
139,103.152.112.145:80
140,190.92.239.132:8080
141,155.138.132.50:80
142,118.69.111.51:8080
143,158.69.66.247:9300
144,92.249.113.194:55443
145,115.144.16.230:10501
146,116.0.61.122:3128
147,200.105.215.22:33630
148,138.197.102.119:80
149,104.207.131.40:80
150,190.210.62.131:8080
151,49.249.155.3:80
152,107.6.27.132:80
153,61.29.96.146:80
154,47.252.1.180:3128
155,34.146.64.228:3128
156,154.65.39.7:80
157,74.208.177.198:80
158,41.77.188.131:80
159,58.234.116.197:80
160,104.248.90.212:80
161,50.168.10.168:80
162,41.207.187.178:80
163,41.230.216.70:80
164,50.169.62.107:80
165,50.207.199.81:80
166,50.173.140.147:80
167,189.204.137.226:80
168,87.76.1.251:8080
169,200.24.134.61:999
170,204.157.241.12:999
171,38.49.141.222:999
172,176.236.226.178:8080
173,50.221.203.222:80
174,217.61.247.50:3128
175,171.22.25.170:80
176,50.218.57.66:80
177,50.237.207.186:80
178,50.221.203.210:80
179,50.171.1.222:80
180,50.206.25.105:80
181,107.1.93.211:80
182,50.217.153.75:80
183,50.217.226.47:80
184,50.219.106.85:80
185,50.204.219.231:80
186,50.168.10.158:80
187,50.239.72.19:80
188,50.168.72.117:80
189,50.168.49.105:80
190,50.224.251.207:80
191,50.237.89.165:80
192,50.173.157.74:80
193,50.222.245.43:80
194,50.221.203.217:80
195,50.206.25.108:80
196,50.221.74.130:80
197,50.221.227.130:80
198,107.1.93.221:80
199,107.1.93.209:80
200,185.216.116.18:80
201,50.217.226.45:80
202,50.221.166.2:80
203,50.228.141.102:80
204,50.168.10.173:80
205,103.141.143.102:41516
206,107.1.93.210:80
207,50.168.72.116:80
208,50.227.121.36:80
209,50.174.7.157:80
210,50.171.2.12:80
211,50.217.226.44:80
212,201.148.32.162:80
213,50.170.90.31:80
214,50.223.129.108:80
215,50.220.21.202:80
216,50.237.89.162:80
217,50.217.153.77:80
218,198.49.68.80:80
219,50.168.10.145:80
220,123.205.24.240:80
221,107.1.93.208:80
222,50.224.251.205:80
223,50.168.10.151:80
224,85.8.68.2:80
225,107.1.93.219:80
226,50.174.145.15:80
227,50.223.129.106:80
228,50.221.203.192:80
229,50.220.168.134:80
230,50.224.251.203:80
231,50.168.10.174:80
232,50.228.141.96:80
233,50.228.128.26:80
234,50.204.219.227:80
235,50.219.71.163:80
236,50.223.38.6:80
237,103.141.143.1:41485
238,50.219.71.164:80
239,50.171.2.10:80
240,50.169.37.50:80
241,50.237.89.164:80
242,127.0.0.7:80
243,50.171.2.9:80
244,50.174.7.158:80
245,50.218.57.67:80
246,45.15.16.131:8118
247,80.228.235.6:80
248,80.120.130.231:80
249,50.224.251.202:80
250,50.217.226.43:80
251,50.168.72.118:80
252,50.173.140.138:80
253,193.233.202.75:8080
254,51.79.50.31:9300
255,185.15.172.212:3128
256,190.113.40.41:999
257,45.189.234.66:999
258,103.123.16.23:8080
259,62.201.219.54:8183
260,41.57.141.24:6060
261,103.255.145.62:84
262,190.145.227.114:999
263,103.247.217.17:8080
264,195.222.165.209:3128
265,47.56.110.204:8989
266,31.220.55.59:80
267,190.128.228.182:80
268,110.238.109.146:3128
269,103.123.25.65:80
270,49.0.253.51:8080
271,20.84.106.205:8214
272,115.144.102.39:10080
273,190.61.88.147:8080
274,146.83.128.23:80
275,198.199.86.11:3128
276,200.46.65.66:8080
277,139.59.1.14:8080
278,103.92.26.190:4002
279,91.209.11.132:80
280,64.225.8.191:9992
281,50.222.212.251:80
282,154.40.60.198:80
283,185.98.23.229:3128
284,47.243.177.210:8088
285,207.2.120.51:80
286,24.158.29.166:80
287,115.144.9.246:11066
288,161.117.227.226:8118
289,20.157.194.61:80
290,50.222.212.253:80
291,176.165.55.74:80
292,50.222.212.249:80
293,186.121.235.222:8080
294,129.159.112.251:3128
295,50.222.212.248:80
296,125.141.151.83:80
297,133.18.234.13:80
298,213.33.2.27:80
